time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 14:56:00.398924792,0.0,0.0,"{'A','A'}",-11.833,1.167,{}
2019-11-05 14:56:00.406067649,0.0,0.0,"{'A','A'}",-14.6,1.2,{}
2019-11-05 14:56:00.413210506,0.0,0.0,{'A'},-8.75,0.75,{}
2019-11-05 14:56:00.420353363,0.0,0.0,"{'A','A'}",-13.667,0.833,{}
2019-11-05 14:56:00.427496220,0.0,0.0,"{'A','A'}",-14.4,0.8,{}
2019-11-05 14:56:00.434639077,0.0,0.0,{'A'},-0.25,0.0,{}
2019-11-05 14:56:00.441781934,0.0,0.0,"{'A','A'}",-14.0,0.667,{}
2019-11-05 14:56:00.448924791,0.0,0.0,"{'A','A'}",-15.333,1.0,{}
2019-11-05 14:56:00.456067648,0.0,0.0,"{'A','A'}",-15.2,0.6,{}
2019-11-05 14:56:00.463210505,0.0,0.0,{'A'},-7.0,0.25,{}
2019-11-05 14:56:00.470353362,0.0,0.0,"{'A','A'}",-16.167,0.5,{'RIGHT'}
2019-11-05 14:56:00.477496219,0.0,0.0,"{'A','A'}",-16.6,0.4,{'RIGHT'}
2019-11-05 14:56:00.484639076,0.0,0.0,{'A'},-10.25,0.25,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.491781933,0.0,0.0,"{'A','A'}",-20.5,0.0,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.498924790,0.0,0.0,"{'A','A'}",-12.667,0.0,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.506067647,0.0,0.0,"{'A','A'}",-10.0,-0.25,{'RIGHT'}
2019-11-05 14:56:00.513210504,0.0,0.0,{'A'},-21.6,-0.6,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.520353361,0.0,0.0,"{'A','A'}",-14.5,-0.667,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.527496218,0.0,0.0,"{'A','A'}",-17.4,-1.4,{'RIGHT'}
2019-11-05 14:56:00.534639075,0.0,0.0,"{'A','A'}",-9.0,-0.8,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.541781932,0.0,0.0,{'A'},-16.6,-1.8,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.548924789,0.0,0.0,"{'A','A'}",-16.0,-2.167,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.556067646,0.0,0.0,"{'A','A'}",-15.667,-2.5,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.563210503,0.0,0.0,"{'A','A'}",-18.8,-3.0,{'RIGHT'}
2019-11-05 14:56:00.570353360,0.0,0.0,"{'A','A'}",-9.4,-1.6,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.577496217,0.0,0.0,{'A'},-25.8,-5.2,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.584639074,0.0,0.0,"{'A','A'}",-13.333,-2.833,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.591781931,0.0,0.0,"{'A','A'}",-18.0,-3.8,{'RIGHT'}
2019-11-05 14:56:00.598924788,0.0,0.0,{'A'},-11.25,-2.5,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.606067645,0.0,0.0,"{'A','A'}",-18.333,-4.333,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.613210502,0.0,0.0,"{'A','A'}",-17.6,-4.6,{'RIGHT'}
2019-11-05 14:56:00.620353359,0.0,0.0,"{'A','A'}",-12.667,-3.167,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.627496216,0.0,0.0,"{'A','A'}",-8.6,-2.4,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.634639073,0.0,0.0,{'A'},-16.4,-4.4,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.641781930,0.0,0.0,"{'A','A'}",-11.333,-3.167,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.648924787,0.0,0.0,"{'A','A'}",-12.0,-3.5,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.656067644,0.0,0.0,"{'A','A'}",-13.6,-4.0,{'RIGHT'}
2019-11-05 14:56:00.663210501,0.0,0.0,"{'A','A'}",-6.4,-2.0,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.670353358,0.0,0.0,{'A'},-11.4,-3.6,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.677496215,0.0,0.0,"{'A','A'}",-8.333,-2.667,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.684639072,0.0,0.0,"{'A','A'}",-8.6,-3.0,{'RIGHT'}
2019-11-05 14:56:00.691781929,0.0,0.0,"{'A','A'}",-3.8,-1.2,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.698924786,0.0,0.0,"{'A','A'}",-5.333,-1.667,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.706067643,0.0,0.0,{'A'},-5.4,-1.6,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.713210500,0.0,0.0,"{'A','A'}",-1.0,-0.333,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.720353357,0.0,0.0,"{'A','A'}",0.0,0.0,{'RIGHT'}
2019-11-05 14:56:00.727496214,0.0,0.0,"{'A','A'}",0.0,0.0,"{'RIGHT','RIGHT'}"
2019-11-05 14:56:00.734639071,0.0,0.0,{'A'},0.0,0.0,"{'RIGHT','RIGHT'}"
