time,gaze_x,gaze_y,key,mouse_dx,mouse_dy,mouse_key
2019-11-05 14:55:38.970353792,0.0,0.0,{},-1.667,1.167,{}
2019-11-05 14:55:38.977496649,0.0,0.0,{},-0.8,0.8,{}
2019-11-05 14:55:38.984639506,0.0,0.0,{},-2.0,1.25,{}
2019-11-05 14:55:38.991782363,0.0,0.0,{},-0.833,1.0,{}
2019-11-05 14:55:38.998925220,0.0,0.0,{},-1.0,0.833,{}
2019-11-05 14:55:39.006068077,0.0,0.0,{},-0.667,0.667,{}
2019-11-05 14:55:39.013210934,0.0,0.0,{},-0.4,0.6,{}
2019-11-05 14:55:39.020353791,0.0,0.0,{},-0.5,1.0,{}
2019-11-05 14:55:39.027496648,0.0,0.0,{},-0.5,0.667,{}
2019-11-05 14:55:39.034639505,0.0,0.0,{},-0.25,0.75,{}
2019-11-05 14:55:39.041782362,0.0,0.0,{},-0.4,0.8,{}
2019-11-05 14:55:39.048925219,0.0,0.0,{},-0.5,0.833,{}
2019-11-05 14:55:39.056068076,0.0,0.0,{},-0.333,0.833,{}
2019-11-05 14:55:39.063210933,0.0,0.0,{},-0.25,0.5,{}
2019-11-05 14:55:39.070353790,0.0,0.0,{},-0.2,0.8,{}
2019-11-05 14:55:39.077496647,0.0,0.0,{},-0.5,0.833,{}
2019-11-05 14:55:39.084639504,0.0,0.0,{},-0.4,1.0,{}
2019-11-05 14:55:39.091782361,0.0,0.0,{},-0.4,0.6,{}
2019-11-05 14:55:39.098925218,0.0,0.0,{},-0.5,0.833,{}
2019-11-05 14:55:39.106068075,0.0,0.0,{},-0.6,1.2,{}
2019-11-05 14:55:39.113210932,0.0,0.0,{},-0.667,1.5,{}
2019-11-05 14:55:39.120353789,0.0,0.0,{},-0.8,1.2,{}
2019-11-05 14:55:39.127496646,0.0,0.0,{},-0.5,0.75,{}
2019-11-05 14:55:39.134639503,0.0,0.0,{},-0.5,0.833,{}
2019-11-05 14:55:39.141782360,0.0,0.0,{},-0.667,0.833,{}
2019-11-05 14:55:39.148925217,0.0,0.0,{},-1.0,1.0,{}
2019-11-05 14:55:39.156068074,0.0,0.0,{},-0.833,0.667,{}
2019-11-05 14:55:39.163210931,0.0,0.0,{'SPACE'},-0.5,0.5,{}
2019-11-05 14:55:39.170353788,0.0,0.0,"{'SPACE','SPACE'}",-0.5,0.333,{}
2019-11-05 14:55:39.177496645,0.0,0.0,{'SPACE'},-0.333,0.333,{}
2019-11-05 14:55:39.184639502,0.0,0.0,"{'SPACE','SPACE'}",-0.5,0.167,{}
2019-11-05 14:55:39.191782359,0.0,0.0,"{'SPACE','SPACE'}",-0.333,0.333,{}
2019-11-05 14:55:39.198925216,0.0,0.0,"{'SPACE','SPACE'}",-0.5,0.167,{}
2019-11-05 14:55:39.206068073,0.0,0.0,{'SPACE'},-0.8,0.2,{}
2019-11-05 14:55:39.213210930,0.0,0.0,{},-0.5,0.25,{}
2019-11-05 14:55:39.220353787,0.0,0.0,{},-0.833,0.333,{}
2019-11-05 14:55:39.227496644,0.0,0.0,{},-1.0,0.2,{}
2019-11-05 14:55:39.234639501,0.0,0.0,{},-0.5,0.25,{}
2019-11-05 14:55:39.241782358,0.0,0.0,{},-0.833,0.333,{}
2019-11-05 14:55:39.248925215,0.0,0.0,{},-1.0,0.333,{}
2019-11-05 14:55:39.256068072,0.0,0.0,{},-1.4,0.4,{}
2019-11-05 14:55:39.263210929,0.0,0.0,{},-1.75,0.25,{}
2019-11-05 14:55:39.270353786,0.0,0.0,{},-1.833,0.167,{}
2019-11-05 14:55:39.277496643,0.0,0.0,{},-2.833,0.5,{}
2019-11-05 14:55:39.284639500,0.0,0.0,{},-2.667,0.0,{}
2019-11-05 14:55:39.291782357,0.0,0.0,{},-3.333,0.333,{}
2019-11-05 14:55:39.298925214,0.0,0.0,{},-3.833,0.333,{}
2019-11-05 14:55:39.306068071,0.0,0.0,{},-4.333,0.167,{}
2019-11-05 14:55:39.313210928,0.0,0.0,{},-4.75,0.0,{}
2019-11-05 14:55:39.320353785,0.0,0.0,{},-9.4,0.2,{}
2019-11-05 14:55:39.327496642,0.0,0.0,{},-4.75,0.0,{}
2019-11-05 14:55:39.334639499,0.0,0.0,{},-7.0,0.0,{}
2019-11-05 14:55:39.341782356,0.0,0.0,{},-8.2,0.0,{}
2019-11-05 14:55:39.348925213,0.0,0.0,{},-8.0,0.0,{}
2019-11-05 14:55:39.356068070,0.0,0.0,{},-9.333,0.0,{}
2019-11-05 14:55:39.363210927,0.0,0.0,{},-10.5,0.0,{}
2019-11-05 14:55:39.370353784,0.0,0.0,{},-11.0,-0.333,{}
2019-11-05 14:55:39.377496641,0.0,0.0,{},2.333,0.0,{}
2019-11-05 14:55:39.384639498,0.0,0.0,{},-13.833,-0.5,{}
2019-11-05 14:55:39.391782355,0.0,0.0,{},-12.833,-0.667,{}
2019-11-05 14:55:39.398925212,0.0,0.0,{},-18.667,-1.333,{}
2019-11-05 14:55:39.406068069,0.0,0.0,{},-13.5,-0.833,{}
2019-11-05 14:55:39.413210926,0.0,0.0,{},-13.667,-1.0,{}
2019-11-05 14:55:39.420353783,0.0,0.0,{},-13.667,-1.0,{}
2019-11-05 14:55:39.427496640,0.0,0.0,{},-13.833,-0.833,{}
2019-11-05 14:55:39.434639497,0.0,0.0,{},-12.5,-0.833,{}
2019-11-05 14:55:39.441782354,0.0,0.0,{},-13.5,-0.833,{}
2019-11-05 14:55:39.448925211,0.0,0.0,{},-14.0,-1.0,{}
2019-11-05 14:55:39.456068068,0.0,0.0,{},-11.833,-0.667,{}
2019-11-05 14:55:39.463210925,0.0,0.0,{},-13.667,-1.0,{}
2019-11-05 14:55:39.470353782,0.0,0.0,{},-11.333,-1.0,{}
2019-11-05 14:55:39.477496639,0.0,0.0,{},-6.5,-0.5,{}
2019-11-05 14:55:39.484639496,0.0,0.0,{},-13.167,-0.833,{}
2019-11-05 14:55:39.491782353,0.0,0.0,{},-12.667,-1.0,{}
2019-11-05 14:55:39.498925210,0.0,0.0,{},-12.833,-0.833,{}
2019-11-05 14:55:39.506068067,0.0,0.0,{},-6.5,-0.167,{}
2019-11-05 14:55:39.513210924,0.0,0.0,{'W'},-18.333,-1.333,{}
2019-11-05 14:55:39.520353781,0.0,0.0,"{'W','W'}",-12.167,-0.833,{}
2019-11-05 14:55:39.527496638,0.0,0.0,"{'W','W'}",-5.833,-0.333,{}
2019-11-05 14:55:39.534639495,0.0,0.0,"{'W','W'}",-5.5,-0.667,{}
2019-11-05 14:55:39.541782352,0.0,0.0,{'W'},-13.0,-1.0,{}
2019-11-05 14:55:39.548925209,0.0,0.0,"{'W','W'}",-7.4,-0.8,{}
2019-11-05 14:55:39.556068066,0.0,0.0,"{'W','W'}",-11.2,-0.8,{}
2019-11-05 14:55:39.563210923,0.0,0.0,"{'W','W'}",-9.667,-1.167,{}
2019-11-05 14:55:39.570353780,0.0,0.0,{'W'},-5.5,-0.5,{}
2019-11-05 14:55:39.577496637,0.0,0.0,"{'W','W'}",-6.833,-1.0,{}
2019-11-05 14:55:39.584639494,0.0,0.0,"{'W','D','W'}",-7.0,-1.0,{}
2019-11-05 14:55:39.591782351,0.0,0.0,"{'D','W'}",-8.4,-1.2,{}
2019-11-05 14:55:39.598925208,0.0,0.0,"{'D','W','D','W'}",-3.0,-0.333,{}
2019-11-05 14:55:39.606068065,0.0,0.0,"{'D','W','D','W'}",-0.6,-0.2,{}
2019-11-05 14:55:39.613210922,0.0,0.0,"{'D','W','D','W'}",0.0,0.0,{}
2019-11-05 14:55:39.620353779,0.0,0.0,"{'D','W'}",0.0,0.0,{}
2019-11-05 14:55:39.627496636,0.0,0.0,"{'D','W','D','W'}",0.0,0.0,{}
2019-11-05 14:55:39.634639493,0.0,0.0,"{'D','W','D','W'}",0.0,0.0,{}
2019-11-05 14:55:39.641782350,0.0,0.0,"{'D','W','D','W'}",0.0,0.0,{}
